order_id,customer_id,product,amount,order_date
1001,1,Premium Widget,99.99,2024-01-05
1002,2,Basic Widget,49.99,2024-01-06
1003,1,Extended Support,299.99,2024-01-07
1004,3,Premium Widget,99.99,2024-01-08
1005,4,Mega Widget,199.99,2024-01-09
1006,5,Basic Widget,49.99,2024-01-10
1007,2,Extended Support,299.99,2024-01-11
1008,6,Premium Widget,99.99,2024-01-12
1009,3,Mega Widget,199.99,2024-01-13
1010,7,Basic Widget,49.99,2024-01-14
1011,1,Extended Support,299.99,2024-01-15
1012,8,Premium Widget,99.99,2024-01-16
1013,4,Mega Widget,199.99,2024-01-17
1014,5,Basic Widget,49.99,2024-01-18
1015,9,Extended Support,299.99,2024-01-19
